,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Pittsburgh Thunderbirds,91% (233/254),53% (7/13),54% (18/33),27% (3/11),85% (12/14),7,23,2021-06-05-BOS-PIT
0,Madison Radicals,95% (232/244),66% (8/12),55% (10/18),70% (24/34),88% (24/27),19,18,2021-06-05-MAD-DET
0,Detroit Mechanix,88% (250/282),37% (3/8),19% (9/46),14% (1/7),57% (4/7),8,43,2021-06-05-MAD-DET
0,Tampa Bay Cannons,84% (173/205),30% (6/20),26% (10/38),0% (0/5),36% (4/11),6,32,2021-06-05-TB-DC
0,DC Breeze,95% (268/281),54% (6/11),70% (12/17),50% (12/24),88% (16/18),19,17,2021-06-05-TB-DC
0,Austin Sol,93% (294/316),60% (6/10),40% (13/32),57% (8/14),66% (14/21),8,25,2021-07-17-AUS-LA
0,LA Aviators,92% (182/196),85% (6/7),50% (14/28),33% (6/18),60% (9/15),13,26,2021-07-17-AUS-LA
0,Indianapolis AlleyCats,93% (235/252),61% (8/13),41% (10/24),55% (5/9),66% (6/9),11,18,2021-07-17-IND-MAD
0,Madison Radicals,95% (342/358),0% (0/5),42% (9/21),61% (8/13),81% (13/16),10,17,2021-07-17-IND-MAD
0,Detroit Mechanix,91% (286/312),41% (5/12),27% (10/37),28% (2/7),53% (7/13),6,30,2021-07-17-DET-MIN
0,Minnesota Wind Chill,92% (207/224),76% (10/13),61% (11/18),56% (14/25),75% (15/20),19,18,2021-07-17-DET-MIN
0,Raleigh Flyers,94% (227/241),61% (11/18),70% (17/24),52% (10/19),90% (19/21),14,16,2021-07-17-RAL-PIT
0,Pittsburgh Thunderbirds,92% (274/295),75% (6/8),40% (15/37),16% (1/6),71% (10/14),7,27,2021-07-17-RAL-PIT
0,Dallas Legion,95% (312/327),33% (2/6),53% (15/28),42% (3/7),87% (14/16),10,17,2021-07-16-DAL-SEA
0,Seattle Cascades,93% (189/202),64% (11/17),62% (15/24),58% (7/12),88% (16/18),6,14,2021-07-16-DAL-SEA
0,Atlanta Hustle,93% (214/228),55% (5/9),60% (14/23),46% (6/13),62% (10/16),12,16,2021-07-16-ATL-PHI
0,Philadelphia Phoenix,93% (263/282),61% (8/13),48% (14/29),11% (1/9),85% (6/7),7,22,2021-07-16-ATL-PHI
0,Minnesota Wind Chill,95% (334/349),100% (7/7),53% (15/28),71% (5/7),83% (15/18),9,15,2021-07-11-MIN-CHI
0,Chicago Union,94% (236/249),44% (4/9),59% (13/22),38% (5/13),94% (17/18),11,17,2021-07-11-MIN-CHI
0,Austin Sol,91% (247/270),63% (7/11),41% (15/36),45% (5/11),52% (12/23),9,27,2021-07-10-AUS-DAL
0,Dallas Legion,89% (189/211),68% (11/16),53% (15/28),31% (6/19),72% (8/11),13,25,2021-07-10-AUS-DAL
0,Philadelphia Phoenix,94% (243/257),88% (8/9),55% (16/29),70% (7/10),83% (10/12),7,16,2021-07-10-PHI-BOS
0,Boston Glory,94% (261/276),50% (4/8),57% (16/28),46% (6/13),70% (19/27),11,19,2021-07-10-PHI-BOS
0,Minnesota Wind Chill,98% (393/398),80% (4/5),85% (17/20),63% (7/11),86% (20/23),7,7,2021-07-10-MIN-IND
0,Indianapolis AlleyCats,95% (239/250),66% (6/9),56% (17/30),50% (1/2),85% (12/14),2,14,2021-07-10-MIN-IND
