,score,line,time_left,point_time,players,quarter
2,13-12,D-Line,00:00,1m46s,"Arsenault, Chaouch, Charette, Cohonner, Duplaix, Rousseau, Tremblay-Joncas",q3
3,14-12,D-Line,00:00,,"Bastien, Brissette, Gamache, Lalonde-Landry, Leonard, Sénéchal, Tremblay-Joncas",q3
4,14-12,D-Line,00:00,,"Arsenault, Auger-Semmar, Chaouch, Cohonner, Lalonde-Landry, Tremblay-Joncas",q3
0,14-13,D-Line,09:47,2m13s,"Arsenault, Charette, Cohonner, Duplaix, Heloir, Rousseau, Tremblay-Joncas",q4
1,15-13,O-Line,09:13,34s,"Auger-Semmar, Brissette, Goderre, Lemieux, Monfette, Poitte-Sokolsky, Quinlan",q4
2,15-14,D-Line,08:28,45s,"Arsenault, Chaouch, Cohonner, Gamache, Heloir, Sénéchal, Tremblay-Joncas",q4
3,16-14,O-Line,08:04,24s,"Auger-Semmar, Brissette, Goderre, Lemieux, Monfette, Poitte-Sokolsky, Quinlan",q4
4,16-15,D-Line,03:42,4m22s,"Bastien, Charette, Duplaix, Gamache, Lalonde-Landry, Leonard, Rousseau",q4
5,17-15,O-Line,00:00,3m42s,"Auger-Semmar, Brissette, Chaouch, Goderre, Lemieux, Monfette, Poitte-Sokolsky",q4
6,18-15,D-Line,00:00,,"Bastien, Chaouch, Gamache, Lalonde-Landry, Leonard, Monfette, Sénéchal",q4
7,18-16,D-Line,00:00,,"Chaouch, Charette, Cohonner, Lalonde-Landry, Quinlan, Rousseau, Tremblay-Joncas",q4
8,18-16,O-Line,00:00,,"Auger-Semmar, Brissette, Goderre, Lemieux, Monfette, Poitte-Sokolsky, Sénéchal",q4
0,0-1,D-Line,10:59,1m1s,"Arcata, Butrica, Hanna, Michel, Nardelli, Owens, Witmer",q1
1,0-2,O-Line,08:53,2m6s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q1
2,0-3,O-Line,05:46,3m7s,"Boyle, Lillis, Martin, Mott, Owens, Pastor, Pollard",q1
3,0-4,O-Line,03:47,1m59s,"Arcata, Boyle, Butrica, DiGiorgio, Lillis, Mott, Owens",q1
4,1-4,O-Line,02:48,59s,"Glazer, Hanna, Michel, Nardelli, Pastor, Pollard, Witmer",q1
5,1-5,D-Line,02:00,48s,"Campanella, Dietrich, Hanna, Heyman, Masino, Nardelli, Witmer",q1
6,2-5,O-Line,00:44,1m16s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q1
7,2-6,D-Line,00:34,10s,"Arcata, Butrica, Esser, Masino, Michel, Nardelli, Owens",q1
8,2-7,O-Line,00:00,34s,"Boyle, DiGiorgio, Glazer, Lillis, Mott, Pastor, Pollard",q1
0,3-7,O-Line,09:27,2m33s,,q2
1,3-8,D-Line,08:14,1m13s,"Arcata, Butrica, Dietrich, Hanna, Masino, Michel, Witmer",q2
2,4-8,O-Line,07:03,1m11s,"Boyle, Glazer, Lillis, Martin, Mott, Owens, Pollard",q2
3,5-8,D-Line,06:30,33s,"Arcata, Butrica, Campanella, Esser, Heyman, Nardelli, Witmer",q2
4,5-9,D-Line,01:33,4m57s,"Campanella, Dietrich, Esser, Hanna, Masino, Michel, Nardelli",q2
5,5-9,O-Line,00:00,1m33s,"Boyle, Glazer, Martin, Mott, Owens, Pastor, Pollard",q2
0,6-9,D-Line,10:44,1m16s,"Arcata, Butrica, Campanella, Esser, Heyman, Masino, Witmer",q3
1,6-10,D-Line,09:52,52s,"Dietrich, Hanna, Heyman, Michel, Nardelli, Pastor, Pollard",q3
2,7-10,O-Line,09:00,52s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Owens",q3
3,7-11,D-Line,08:15,45s,"Arcata, Butrica, Campanella, Esser, Hanna, Masino, Witmer",q3
4,7-12,O-Line,05:39,2m36s,"Boyle, Glazer, Lillis, Martin, Mott, Pastor, Pollard",q3
5,8-12,O-Line,05:14,25s,"Arcata, Boyle, DiGiorgio, Glazer, Lillis, Mott, Pastor",q3
6,9-12,D-Line,03:05,2m9s,"Arcata, Butrica, Campanella, Masino, Michel, Nardelli, Witmer",q3
7,9-13,D-Line,01:42,1m23s,"Arcata, Dietrich, Esser, Hanna, Heyman, Masino, Nardelli",q3
8,10-13,O-Line,01:15,27s,"Boyle, Glazer, Martin, Mott, Owens, Pastor, Pollard",q3
9,10-14,D-Line,00:23,52s,"Arcata, Butrica, Campanella, Dietrich, Hanna, Michel, Witmer",q3
10,10-15,O-Line,00:00,23s,"Boyle, DiGiorgio, Lillis, Martin, Mott, Pastor, Pollard",q3
0,11-15,O-Line,11:29,31s,"Boyle, Glazer, Lillis, Martin, Mott, Owens, Pollard",q4
1,11-16,D-Line,09:28,2m1s,"Arcata, Campanella, Hanna, Heyman, Masino, Nardelli, Witmer",q4
2,12-16,O-Line,08:58,30s,"Boyle, Dietrich, DiGiorgio, Glazer, Martin, Mott, Pastor",q4
3,12-17,D-Line,05:40,3m18s,"Arcata, Butrica, Dietrich, Esser, Heyman, Michel, Witmer",q4
4,12-18,O-Line,04:58,42s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q4
5,13-18,O-Line,04:31,27s,"Arcata, DiGiorgio, Esser, Hanna, Heyman, Owens, Pastor",q4
6,13-19,D-Line,02:42,1m49s,"Campanella, Dietrich, Masino, Michel, Nardelli, Pastor, Witmer",q4
7,13-20,O-Line,01:33,1m9s,"DiGiorgio, Glazer, Lillis, Martin, Mott, Owens, Pollard",q4
8,13-20,O-Line,00:00,1m33s,"Arcata, Boyle, Esser, Heyman, Nardelli, Pastor, Witmer",q4
0,0-1,D-Line,10:59,1m1s,"Arcata, Butrica, Hanna, Michel, Nardelli, Owens, Witmer",q1
1,0-2,O-Line,08:53,2m6s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q1
2,0-3,O-Line,05:46,3m7s,"Boyle, Lillis, Martin, Mott, Owens, Pastor, Pollard",q1
3,0-4,O-Line,03:47,1m59s,"Arcata, Boyle, Butrica, DiGiorgio, Lillis, Mott, Owens",q1
4,1-4,O-Line,02:48,59s,"Glazer, Hanna, Michel, Nardelli, Pastor, Pollard, Witmer",q1
5,1-5,D-Line,02:00,48s,"Campanella, Dietrich, Hanna, Heyman, Masino, Nardelli, Witmer",q1
6,2-5,O-Line,00:44,1m16s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q1
7,2-6,D-Line,00:34,10s,"Arcata, Butrica, Esser, Masino, Michel, Nardelli, Owens",q1
8,2-7,O-Line,00:00,34s,"Boyle, DiGiorgio, Glazer, Lillis, Mott, Pastor, Pollard",q1
0,3-7,O-Line,09:27,2m33s,,q2
1,3-8,D-Line,08:14,1m13s,"Arcata, Butrica, Dietrich, Hanna, Masino, Michel, Witmer",q2
2,4-8,O-Line,07:03,1m11s,"Boyle, Glazer, Lillis, Martin, Mott, Owens, Pollard",q2
3,5-8,D-Line,06:30,33s,"Arcata, Butrica, Campanella, Esser, Heyman, Nardelli, Witmer",q2
4,5-9,D-Line,01:33,4m57s,"Campanella, Dietrich, Esser, Hanna, Masino, Michel, Nardelli",q2
5,5-9,O-Line,00:00,1m33s,"Boyle, Glazer, Martin, Mott, Owens, Pastor, Pollard",q2
0,6-9,D-Line,10:44,1m16s,"Arcata, Butrica, Campanella, Esser, Heyman, Masino, Witmer",q3
1,6-10,D-Line,09:52,52s,"Dietrich, Hanna, Heyman, Michel, Nardelli, Pastor, Pollard",q3
2,7-10,O-Line,09:00,52s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Owens",q3
3,7-11,D-Line,08:15,45s,"Arcata, Butrica, Campanella, Esser, Hanna, Masino, Witmer",q3
4,7-12,O-Line,05:39,2m36s,"Boyle, Glazer, Lillis, Martin, Mott, Pastor, Pollard",q3
5,8-12,O-Line,05:14,25s,"Arcata, Boyle, DiGiorgio, Glazer, Lillis, Mott, Pastor",q3
6,9-12,D-Line,03:05,2m9s,"Arcata, Butrica, Campanella, Masino, Michel, Nardelli, Witmer",q3
7,9-13,D-Line,01:42,1m23s,"Arcata, Dietrich, Esser, Hanna, Heyman, Masino, Nardelli",q3
8,10-13,O-Line,01:15,27s,"Boyle, Glazer, Martin, Mott, Owens, Pastor, Pollard",q3
9,10-14,D-Line,00:23,52s,"Arcata, Butrica, Campanella, Dietrich, Hanna, Michel, Witmer",q3
10,10-15,O-Line,00:00,23s,"Boyle, DiGiorgio, Lillis, Martin, Mott, Pastor, Pollard",q3
0,11-15,O-Line,11:29,31s,"Boyle, Glazer, Lillis, Martin, Mott, Owens, Pollard",q4
1,11-16,D-Line,09:28,2m1s,"Arcata, Campanella, Hanna, Heyman, Masino, Nardelli, Witmer",q4
2,12-16,O-Line,08:58,30s,"Boyle, Dietrich, DiGiorgio, Glazer, Martin, Mott, Pastor",q4
3,12-17,D-Line,05:40,3m18s,"Arcata, Butrica, Dietrich, Esser, Heyman, Michel, Witmer",q4
4,12-18,O-Line,04:58,42s,"Boyle, DiGiorgio, Glazer, Lillis, Martin, Mott, Pollard",q4
5,13-18,O-Line,04:31,27s,"Arcata, DiGiorgio, Esser, Hanna, Heyman, Owens, Pastor",q4
6,13-19,D-Line,02:42,1m49s,"Campanella, Dietrich, Masino, Michel, Nardelli, Pastor, Witmer",q4
7,13-20,O-Line,01:33,1m9s,"DiGiorgio, Glazer, Lillis, Martin, Mott, Owens, Pollard",q4
8,13-20,O-Line,00:00,1m33s,"Arcata, Boyle, Esser, Heyman, Nardelli, Pastor, Witmer",q4
0,1-0,O-Line,11:13,47s,"Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson, Whitehead",q1
1,2-0,D-Line,09:56,1m17s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Kurman-Faber, Rick",q1
2,3-0,D-Line,09:16,40s,"Barron, Bartoli, Donadio, L'Heureux, Rick, Tran, Woodhouse",q1
3,3-1,D-Line,08:42,34s,"Barron, Bullock, Haflin, Kellman, Kurman-Faber, L'Heureux, Whitehead",q1
4,4-1,O-Line,08:04,38s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson",q1
5,4-2,D-Line,07:14,50s,"Barron, Donadio, Haflin, Kellman, Rick, Tran, Woodhouse",q1
6,5-2,O-Line,05:13,2m1s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q1
7,6-2,D-Line,02:08,3m5s,"Bartoli, Donadio, Haflin, Kellman, Kurman-Faber, Rick, Tran",q1
8,6-3,D-Line,01:23,45s,"Barron, Bullock, Kellman, L'Heureux, Thompson, Turner, Woodhouse",q1
9,6-4,O-Line,00:26,57s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Tetreault, Whitehead",q1
10,6-4,O-Line,00:00,26s,"Bartoli, Haflin, Halkyard, Johnson, Sadok, Stewart, Thompson",q1
0,6-5,D-Line,11:05,55s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Kurman-Faber, Rick",q2
1,6-6,O-Line,08:31,2m34s,"Halkyard, Johnson, Sadok, Stewart, Thompson, Turner, Whitehead",q2
2,7-6,O-Line,07:20,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q2
3,7-7,D-Line,06:15,1m5s,"Bartoli, Bullock, Donadio, Haflin, Kurman-Faber, L'Heureux, Rick",q2
4,8-7,O-Line,05:18,57s,"Halkyard, Johnson, Sadok, Stewart, Tetreault, Thompson, Turner",q2
5,8-8,D-Line,04:22,56s,"Barron, Bartoli, Donadio, Kellman, Rick, Tran, Woodhouse",q2
6,9-8,O-Line,01:48,2m34s,"Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson, Whitehead",q2
7,9-9,D-Line,01:11,37s,"Barron, Bartoli, Donadio, Kellman, Rick, Tran, Woodhouse",q2
8,10-9,O-Line,00:14,57s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q2
9,10-9,D-Line,00:00,14s,"Bartoli, Haflin, Halkyard, Kellman, Kurman-Faber, Thompson, Tran",q2
0,10-10,O-Line,10:52,1m8s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
1,11-10,O-Line,09:41,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
2,11-11,D-Line,09:15,26s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Woodhouse",q3
3,12-11,O-Line,08:20,55s,"Halkyard, Johnson, Sadok, Taylor, Tetreault, Thompson, Turner",q3
4,12-12,D-Line,06:29,1m51s,"Barron, Bartoli, Kellman, L'Heureux, Rick, Tran, Woodhouse",q3
5,13-12,O-Line,05:06,1m23s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
6,13-13,D-Line,02:30,2m36s,"Bullock, Donadio, Haflin, Kurman-Faber, L'Heureux, Tetreault, Turner",q3
7,14-13,O-Line,01:47,43s,"Halkyard, Johnson, Sadok, Taylor, Tetreault, Thompson, Whitehead",q3
8,14-14,D-Line,01:19,28s,"Donadio, Haflin, Kellman, Kurman-Faber, L'Heureux, Tran, Turner",q3
9,15-14,O-Line,00:08,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q3
10,15-14,D-Line,00:00,8s,"Bartoli, Haflin, Halkyard, Kellman, Kurman-Faber, Thompson, Tran",q3
0,15-15,D-Line,11:25,35s,"Barron, Bullock, Haflin, Kellman, Kurman-Faber, L'Heureux, Tran",q4
1,15-16,O-Line,08:36,2m49s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q4
2,15-17,O-Line,08:00,36s,"Johnson, Sadok, Taylor, Tetreault, Thompson, Turner, Whitehead",q4
3,16-17,O-Line,07:26,34s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q4
4,17-17,D-Line,04:43,2m43s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Tran",q4
5,17-18,D-Line,03:38,1m5s,"Barron, Johnson, Kurman-Faber, L'Heureux, Tetreault, Whitehead, Woodhouse",q4
6,18-18,O-Line,01:54,1m44s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Turner",q4
7,18-19,D-Line,01:18,36s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Whitehead",q4
8,18-19,O-Line,00:00,1m18s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Turner",q4
0,1-0,O-Line,11:13,47s,"Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson, Whitehead",q1
1,2-0,D-Line,09:56,1m17s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Kurman-Faber, Rick",q1
2,3-0,D-Line,09:16,40s,"Barron, Bartoli, Donadio, L'Heureux, Rick, Tran, Woodhouse",q1
3,3-1,D-Line,08:42,34s,"Barron, Bullock, Haflin, Kellman, Kurman-Faber, L'Heureux, Whitehead",q1
4,4-1,O-Line,08:04,38s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson",q1
5,4-2,D-Line,07:14,50s,"Barron, Donadio, Haflin, Kellman, Rick, Tran, Woodhouse",q1
6,5-2,O-Line,05:13,2m1s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q1
7,6-2,D-Line,02:08,3m5s,"Bartoli, Donadio, Haflin, Kellman, Kurman-Faber, Rick, Tran",q1
8,6-3,D-Line,01:23,45s,"Barron, Bullock, Kellman, L'Heureux, Thompson, Turner, Woodhouse",q1
9,6-4,O-Line,00:26,57s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Tetreault, Whitehead",q1
10,6-4,O-Line,00:00,26s,"Bartoli, Haflin, Halkyard, Johnson, Sadok, Stewart, Thompson",q1
0,6-5,D-Line,11:05,55s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Kurman-Faber, Rick",q2
1,6-6,O-Line,08:31,2m34s,"Halkyard, Johnson, Sadok, Stewart, Thompson, Turner, Whitehead",q2
2,7-6,O-Line,07:20,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q2
3,7-7,D-Line,06:15,1m5s,"Bartoli, Bullock, Donadio, Haflin, Kurman-Faber, L'Heureux, Rick",q2
4,8-7,O-Line,05:18,57s,"Halkyard, Johnson, Sadok, Stewart, Tetreault, Thompson, Turner",q2
5,8-8,D-Line,04:22,56s,"Barron, Bartoli, Donadio, Kellman, Rick, Tran, Woodhouse",q2
6,9-8,O-Line,01:48,2m34s,"Johnson, Sadok, Stewart, Taylor, Tetreault, Thompson, Whitehead",q2
7,9-9,D-Line,01:11,37s,"Barron, Bartoli, Donadio, Kellman, Rick, Tran, Woodhouse",q2
8,10-9,O-Line,00:14,57s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q2
9,10-9,D-Line,00:00,14s,"Bartoli, Haflin, Halkyard, Kellman, Kurman-Faber, Thompson, Tran",q2
0,10-10,O-Line,10:52,1m8s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
1,11-10,O-Line,09:41,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
2,11-11,D-Line,09:15,26s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Woodhouse",q3
3,12-11,O-Line,08:20,55s,"Halkyard, Johnson, Sadok, Taylor, Tetreault, Thompson, Turner",q3
4,12-12,D-Line,06:29,1m51s,"Barron, Bartoli, Kellman, L'Heureux, Rick, Tran, Woodhouse",q3
5,13-12,O-Line,05:06,1m23s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q3
6,13-13,D-Line,02:30,2m36s,"Bullock, Donadio, Haflin, Kurman-Faber, L'Heureux, Tetreault, Turner",q3
7,14-13,O-Line,01:47,43s,"Halkyard, Johnson, Sadok, Taylor, Tetreault, Thompson, Whitehead",q3
8,14-14,D-Line,01:19,28s,"Donadio, Haflin, Kellman, Kurman-Faber, L'Heureux, Tran, Turner",q3
9,15-14,O-Line,00:08,1m11s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Turner, Whitehead",q3
10,15-14,D-Line,00:00,8s,"Bartoli, Haflin, Halkyard, Kellman, Kurman-Faber, Thompson, Tran",q3
0,15-15,D-Line,11:25,35s,"Barron, Bullock, Haflin, Kellman, Kurman-Faber, L'Heureux, Tran",q4
1,15-16,O-Line,08:36,2m49s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q4
2,15-17,O-Line,08:00,36s,"Johnson, Sadok, Taylor, Tetreault, Thompson, Turner, Whitehead",q4
3,16-17,O-Line,07:26,34s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Whitehead",q4
4,17-17,D-Line,04:43,2m43s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Tran",q4
5,17-18,D-Line,03:38,1m5s,"Barron, Johnson, Kurman-Faber, L'Heureux, Tetreault, Whitehead, Woodhouse",q4
6,18-18,O-Line,01:54,1m44s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Turner",q4
7,18-19,D-Line,01:18,36s,"Bartoli, Bullock, Donadio, Haflin, Kellman, Rick, Whitehead",q4
8,18-19,O-Line,00:00,1m18s,"Halkyard, Johnson, Sadok, Stewart, Taylor, Thompson, Turner",q4
0,0-1,O-Line,09:29,2m31s,"Cook, Fontaine, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q1
1,1-1,O-Line,09:05,24s,"Abdulla, Brown, Fontaine, Gall, Koo, Ladner, Steiner",q1
2,2-1,D-Line,07:08,1m57s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q1
3,2-2,D-Line,05:58,1m10s,"Finley, Goldberg, Lu, McDougall, Miller, Seamus Robinson, Theologidy",q1
4,3-2,O-Line,05:39,19s,"Cook, Fontaine, Gall, Kiyoi, Ladner, Osborne, Van Deusen",q1
5,3-3,D-Line,05:01,38s,"Abdulla, Koo, Miller, Padula, Ransom, Steiner, Theologidy",q1
6,3-4,O-Line,03:26,1m35s,"Cook, Fontaine, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q1
7,3-5,O-Line,00:14,3m12s,"Abdulla, Brown, Fontaine, Gall, Kiyoi, Ladner, Van Deusen",q1
8,3-5,O-Line,00:00,14s,"Brown, Cook, Gall, Koo, McDougall, Osborne, Steiner",q1
0,4-5,D-Line,11:22,38s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q2
1,5-5,D-Line,08:47,2m35s,"Goldberg, Miller, Padula, Ransom, Seamus Robinson, Steiner, Theologidy",q2
2,6-5,D-Line,07:02,1m45s,"Finley, Goldberg, Koo, Lu, Padula, Seamus Robinson, Theologidy",q2
3,6-6,D-Line,06:00,1m2s,"Brown, Finley, Koo, McDougall, Miller, Osborne, Seamus Robinson",q2
4,6-7,O-Line,04:31,1m29s,"Cook, Gall, Kiyoi, Ladner, McDougall, Osborne, Van Deusen",q2
5,7-7,O-Line,03:31,1m0s,"Abdulla, Brown, Cook, Gall, Kiyoi, McDougall, Van Deusen",q2
6,7-8,D-Line,02:14,1m17s,"Goldberg, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q2
7,8-8,O-Line,01:24,50s,"Cook, Gall, Kiyoi, Ladner, McDougall, Osborne, Van Deusen",q2
8,8-9,D-Line,00:40,44s,"Brown, Koo, Miller, Padula, Seamus Robinson, Steiner, Theologidy",q2
9,9-9,O-Line,00:25,15s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q2
10,9-10,D-Line,00:02,23s,"Brown, Finley, Koo, McDougall, Padula, Seamus Robinson, Steiner",q2
11,10-10,O-Line,00:00,2s,"Brown, Cook, Gall, McDougall, Osborne, Steiner, Van Deusen",q2
0,11-10,O-Line,11:15,45s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q3
1,12-10,D-Line,09:05,2m10s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q3
2,12-11,D-Line,06:31,2m34s,"Finley, Goldberg, Lu, McDougall, Miller, Seamus Robinson, Theologidy",q3
3,13-11,O-Line,03:55,2m36s,"Koo, Ladner, McDougall, Miller, Osborne, Ransom, Steiner",q3
4,14-11,D-Line,02:15,1m40s,"Brown, Finley, Goldberg, Lu, Padula, Seamus Robinson, Theologidy",q3
5,14-12,D-Line,01:25,50s,"Kiyoi, Koo, Ladner, Lu, Miller, Padula, Ransom",q3
6,15-12,O-Line,00:37,48s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q3
7,16-12,D-Line,00:00,37s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q3
0,17-12,D-Line,11:02,58s,"Brown, Goldberg, Koo, Miller, Padula, Steiner, Theologidy",q4
1,18-12,D-Line,08:26,2m36s,"Finley, Ladner, Lu, McDougall, Miller, Ransom, Seamus Robinson",q4
2,19-12,D-Line,05:26,3m0s,"Brown, Goldberg, Kiyoi, Koo, Osborne, Padula, Steiner",q4
3,19-13,D-Line,04:45,41s,"Abdulla, Gall, Lu, Ransom, Seamus Robinson, Theologidy, Van Deusen",q4
4,19-14,O-Line,03:08,1m37s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Miller, Van Deusen",q4
5,20-14,O-Line,01:12,1m56s,"Brown, Cook, Gall, Ladner, Osborne, Steiner, Theologidy",q4
6,20-15,D-Line,00:17,55s,"Finley, Goldberg, McDougall, Miller, Padula, Ransom, Seamus Robinson",q4
7,20-15,O-Line,00:00,17s,"Abdulla, Cook, Gall, Kiyoi, Ladner, McDougall, Van Deusen",q4
0,0-1,O-Line,09:29,2m31s,"Cook, Fontaine, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q1
1,1-1,O-Line,09:05,24s,"Abdulla, Brown, Fontaine, Gall, Koo, Ladner, Steiner",q1
2,2-1,D-Line,07:08,1m57s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q1
3,2-2,D-Line,05:58,1m10s,"Finley, Goldberg, Lu, McDougall, Miller, Seamus Robinson, Theologidy",q1
4,3-2,O-Line,05:39,19s,"Cook, Fontaine, Gall, Kiyoi, Ladner, Osborne, Van Deusen",q1
5,3-3,D-Line,05:01,38s,"Abdulla, Koo, Miller, Padula, Ransom, Steiner, Theologidy",q1
6,3-4,O-Line,03:26,1m35s,"Cook, Fontaine, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q1
7,3-5,O-Line,00:14,3m12s,"Abdulla, Brown, Fontaine, Gall, Kiyoi, Ladner, Van Deusen",q1
8,3-5,O-Line,00:00,14s,"Brown, Cook, Gall, Koo, McDougall, Osborne, Steiner",q1
0,4-5,D-Line,11:22,38s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q2
1,5-5,D-Line,08:47,2m35s,"Goldberg, Miller, Padula, Ransom, Seamus Robinson, Steiner, Theologidy",q2
2,6-5,D-Line,07:02,1m45s,"Finley, Goldberg, Koo, Lu, Padula, Seamus Robinson, Theologidy",q2
3,6-6,D-Line,06:00,1m2s,"Brown, Finley, Koo, McDougall, Miller, Osborne, Seamus Robinson",q2
4,6-7,O-Line,04:31,1m29s,"Cook, Gall, Kiyoi, Ladner, McDougall, Osborne, Van Deusen",q2
5,7-7,O-Line,03:31,1m0s,"Abdulla, Brown, Cook, Gall, Kiyoi, McDougall, Van Deusen",q2
6,7-8,D-Line,02:14,1m17s,"Goldberg, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q2
7,8-8,O-Line,01:24,50s,"Cook, Gall, Kiyoi, Ladner, McDougall, Osborne, Van Deusen",q2
8,8-9,D-Line,00:40,44s,"Brown, Koo, Miller, Padula, Seamus Robinson, Steiner, Theologidy",q2
9,9-9,O-Line,00:25,15s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q2
10,9-10,D-Line,00:02,23s,"Brown, Finley, Koo, McDougall, Padula, Seamus Robinson, Steiner",q2
11,10-10,O-Line,00:00,2s,"Brown, Cook, Gall, McDougall, Osborne, Steiner, Van Deusen",q2
0,11-10,O-Line,11:15,45s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q3
1,12-10,D-Line,09:05,2m10s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q3
2,12-11,D-Line,06:31,2m34s,"Finley, Goldberg, Lu, McDougall, Miller, Seamus Robinson, Theologidy",q3
3,13-11,O-Line,03:55,2m36s,"Koo, Ladner, McDougall, Miller, Osborne, Ransom, Steiner",q3
4,14-11,D-Line,02:15,1m40s,"Brown, Finley, Goldberg, Lu, Padula, Seamus Robinson, Theologidy",q3
5,14-12,D-Line,01:25,50s,"Kiyoi, Koo, Ladner, Lu, Miller, Padula, Ransom",q3
6,15-12,O-Line,00:37,48s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Osborne, Van Deusen",q3
7,16-12,D-Line,00:00,37s,"Brown, Koo, Miller, Padula, Ransom, Seamus Robinson, Steiner",q3
0,17-12,D-Line,11:02,58s,"Brown, Goldberg, Koo, Miller, Padula, Steiner, Theologidy",q4
1,18-12,D-Line,08:26,2m36s,"Finley, Ladner, Lu, McDougall, Miller, Ransom, Seamus Robinson",q4
2,19-12,D-Line,05:26,3m0s,"Brown, Goldberg, Kiyoi, Koo, Osborne, Padula, Steiner",q4
3,19-13,D-Line,04:45,41s,"Abdulla, Gall, Lu, Ransom, Seamus Robinson, Theologidy, Van Deusen",q4
4,19-14,O-Line,03:08,1m37s,"Abdulla, Cook, Gall, Kiyoi, McDougall, Miller, Van Deusen",q4
