,score,line,time_left,point_time,players,quarter
4,26-19,D-Line,06:44,1m10s,"Curran, Dynes, Ginet, Hardesty, Payne, Venegas, Zetsch",q4
5,27-19,O-Line,05:32,1m12s,"Ames, Gross, Henderson, Jacobs, Payne, Romard, Walsh",q4
6,27-20,D-Line,04:20,1m12s,"Coniaris, Cunningham, Curran, Dynes, Mcclure, Phillips, Rae",q4
7,28-20,O-Line,03:11,1m9s,"Ames, Carpenter, Gross, Jacobs, Payne, Romard, Walsh",q4
8,28-21,D-Line,01:53,1m18s,"Curran, Dynes, Ginet, Hardesty, Mcclure, Rae, Zetsch",q4
9,29-21,O-Line,01:11,42s,"Ames, Carpenter, Gross, Jacobs, Payne, Romard, Walsh",q4
10,30-21,D-Line,00:19,52s,"Curran, Dynes, Ginet, Hardesty, Mcclure, Rae, Zetsch",q4
11,30-21,D-Line,00:00,19s,"Cunningham, Dynes, Hardesty, Mcclure, Phillips, Venegas, Zetsch",q4
0,1-0,O-Line,11:18,42s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q1
1,2-0,D-Line,08:53,2m25s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q1
2,2-1,D-Line,07:37,1m16s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q1
3,3-1,O-Line,07:16,21s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q1
4,3-2,D-Line,05:55,1m21s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q1
5,4-2,O-Line,05:29,26s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q1
6,4-3,D-Line,04:55,34s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q1
7,4-4,O-Line,03:20,1m35s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q1
8,5-4,O-Line,02:33,47s,"Ames, Carpenter, Coniaris, Gross, Jacobs, Romard, Walsh",q1
9,5-5,D-Line,01:55,38s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q1
10,6-5,O-Line,01:36,19s,"Ames, Cunningham, Gross, Henderson, Jacobs, Romard, Walsh",q1
11,6-6,D-Line,00:09,1m27s,"Coniaris, Cunningham, Curran, Ginet, Mcclure, Payne, Phillips",q1
12,6-6,O-Line,00:00,9s,"Ames, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q1
0,7-6,D-Line,10:40,1m20s,"Carpenter, Gross, Hardesty, Hutton, Payne, Romard, Venegas",q2
1,7-7,D-Line,10:18,22s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q2
2,8-7,O-Line,09:32,46s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q2
3,8-8,D-Line,08:59,33s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q2
4,9-8,O-Line,08:08,51s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q2
5,9-9,D-Line,07:31,37s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q2
6,10-9,O-Line,06:45,46s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q2
7,10-10,D-Line,05:26,1m19s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q2
