,TEAM,G,W_x,L,S,SA,C,T,CMP %,H,HUCK %,HLD %,OLC %,B,BRK %,DLC %,RZC %,YEAR,W_y,OPP C,OPP T,OPP CMP %,OPP H,OPP HUCK %,OPP HLD %,OPP OLC %,OPP B,OPP BRK %,OPP DLC %,OPP RZC %
16,Cascades,100,41,59,2296,2324,22.5k,2409,90.31,82,50.31,64.07,47.98,1142,27.39,43.09,76.37,CAREER,41,26.1k,2345,91.75,76,57.14,65.25,49.58,1160,28.01,43.36,80.20
17,Cannons,82,35,47,1792,1890,21.6k,1825,92.22,85,49.71,64.24,49.22,821,24.12,42.95,74.05,CAREER,35,19.6k,1689,92.05,92,58.97,67.11,52.23,992,27.96,45.12,82.30
18,Phoenix,111,28,82,2109,2590,25.8k,3071,89.61,90,57.69,55.78,40.82,1202,21.20,33.04,76.43,CAREER,28,26.4k,2598,91.32,74,56.92,71.05,50.86,1632,35.33,47.06,77.83
19,Sol,67,26,41,1507,1540,16.9k,1690,90.88,75,52.45,63.36,47.31,781,26.86,41.45,72.36,CAREER,26,15.3k,1603,90.50,100,64.10,65.78,48.79,904,27.96,42.09,72.25
20,Outlaws,76,25,51,1681,1812,17.5k,2008,89.73,87,76.32,62.02,45.68,892,25.44,39.36,80.21,CAREER,25,17.2k,1872,90.16,82,74.55,67.05,49.10,1033,29.94,42.70,76.15
21,Riptide,56,19,37,1309,1399,13.3k,1486,89.96,--,--,61.22,46.34,755,26.97,42.20,--,CAREER,19,14k,1394,90.93,--,--,66.43,49.48,738,30.07,44.60,--
22,Revolution,74,18,56,1380,1746,15.2k,1857,89.43,--,--,53.61,36.90,711,18.67,29.21,--,CAREER,18,14.2k,1365,91.73,--,--,73.59,51.49,950,37.71,43.64,--
23,Mechanix,125,15,110,2165,3246,24.9k,3325,88.33,72,52.55,47.14,32.86,1162,16.86,26.49,66.67,CAREER,15,25.1k,2584,90.85,98,68.53,75.58,52.15,1933,44.78,48.96,82.45
24,Spinners,17,15,2,459,324,--,--,--,--,--,--,--,--,--,--,--,CAREER,15,--,--,--,--,--,--,--,--,--,--,--
25,Dragons,59,11,48,1058,1436,9679,1308,88.58,--,--,47.52,33.82,487,19.93,30.40,--,CAREER,11,10.1k,1135,90.72,--,--,72.39,50.65,740,43.46,48.58,--
26,Nightwatch,56,8,48,1158,1512,13.9k,1588,89.72,--,--,58.73,43.65,572,16.18,29.61,--,CAREER,8,14.8k,1238,92.30,--,--,77.09,56.71,823,32.88,45.96,--
27,Constitution,12,8,4,265,240,--,--,--,--,--,--,--,--,--,--,--,CAREER,8,--,--,--,--,--,--,--,--,--,--,--
28,Cranes,16,7,9,317,330,--,--,--,--,--,--,--,--,--,--,--,CAREER,7,--,--,--,--,--,--,--,--,--,--,--
29,Express,28,6,22,544,678,6756,767,89.80,--,--,55.04,39.69,350,23.33,40,--,CAREER,6,7349,629,92.12,--,--,68.22,51.38,374,36.41,46.53,--
30,Rampage,15,6,9,307,353,--,--,--,--,--,--,--,--,--,--,--,CAREER,6,--,--,--,--,--,--,--,--,--,--,--
31,Glory,12,5,7,268,265,2951,203,93.56,79,58.09,70.73,58,121,22.65,51.59,80.18,CAREER,5,2910,202,93.51,92,63.45,70.03,58.60,112,22.38,48.85,80.63
32,Hammerheads,16,2,14,276,366,3868,568,90,--,--,--,--,244,--,--,--,CAREER,2,3170,452,90.13,--,--,--,--,269,--,--,--
33,Lions,14,0,14,224,430,3753,550,87.22,--,--,40.56,27.75,152,14.89,22.88,--,CAREER,0,2450,372,86.82,--,--,69.44,49.58,253,55.68,52.69,--
0,Spinners,17,15,2,459,324,,,,,,,,,,,,2012,15,,,,,,,,,,,
1,Constitution,12,8,4,265,240,,,,,,,,,,,,2012,8,,,,,,,,,,,
2,AlleyCats,16,8,8,341,341,,,,,,,,,,,,2012,8,,,,,,,,,,,
3,Revolution,16,8,8,301,299,,,,,,,,,,,,2012,8,,,,,,,,,,,
4,Cranes,16,7,9,317,330,,,,,,,,,,,,2012,7,,,,,,,,,,,
5,Rampage,15,6,9,307,353,,,,,,,,,,,,2012,6,,,,,,,,,,,
6,Mechanix,15,6,9,327,351,,,,,,,,,,,,2012,6,,,,,,,,,,,
7,Dragons,15,3,12,272,351,,,,,,,,,,,,2012,3,,,,,,,,,,,
0,Rush,18,18,0,497,317,3590,395,92.36,,,,,322,,,,2013,18,3148,531,88.13,,,,,186,,,
1,Radicals,19,15,4,421,363,5040,428,93.40,,,,,268,,,,2013,15,4337,345,93.87,,,,,209,,,
2,Union,17,14,3,392,301,4420,369,93.47,,,,,254,,,,2013,14,3156,361,90.85,,,,,185,,,
3,Empire,18,12,6,367,320,3914,568,89.10,,,,,308,,,,2013,12,3938,503,91.01,,,,,224,,,
4,AlleyCats,17,9,8,396,370,3047,294,93.04,,,,,215,,,,2013,9,3929,347,93.39,,,,,196,,,
5,Phoenix,17,9,8,348,349,2952,455,88.76,,,,,205,,,,2013,9,3232,491,88.91,,,,,288,,,
6,Dragons,16,6,10,306,355,2509,380,88.69,,,,,191,,,,2013,6,3737,464,91.24,,,,,272,,,
7,Wind Chill,16,4,12,335,355,3372,341,93.25,,,,,280,,,,2013,4,3337,375,91.65,,,,,263,,,
8,Breeze,16,4,12,293,378,3453,435,91.79,,,,,208,,,,2013,4,3022,361,91.35,,,,,235,,,
9,Mechanix,16,4,12,292,373,1435,145,92.88,,,,,75,,,,2013,4,4066,328,93.79,,,,,248,,,
10,Revolution,16,4,12,292,368,4816,480,92.03,,,,,212,,,,2013,4,3344,300,94.01,,,,,207,,,
11,Hammerheads,16,2,14,276,366,3868,568,90,,,,,244,,,,2013,2,3170,452,90.13,,,,,269,,,
0,Spiders,17,16,1,475,340,3917,380,91.16,,,75.67,54.32,228,37.72,51.61,,2014,16,4708,487,90.63,,,55.32,41.67,174,16.10,26.64,
1,Rush,17,15,2,449,302,4277,355,92.34,,,71.48,52.03,276,46.12,52.45,,2014,15,3979,537,88.11,,,46.57,34.25,156,23.35,36.97,
2,Radicals,16,13,3,383,250,4012,346,92.06,,,71.28,49.88,298,43.86,49.59,,2014,13,4257,476,89.94,,,47.95,34.19,164,18.09,28.33,
