YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2017 - MAD,7,123,136,9,19,0,17,137,91.95,--,--,11,7,0,4,0,--,--,108,15,0,--,--,Ross Barker,regular season
Career,42,942,947,88,110,21,143,815,91.47,1254,2554,76,58,0,18,0,3,33.33,668,274,72,93.51,5.68,Ross Barker,regular season
2021 - CHI,2,47,49,1,11,0,9,30,88.24,122,473,3,3,0,0,0,1,50,40,7,0,--,--,Ross Barker,post-season
2019 - CHI,1,26,31,2,1,2,4,11,91.67,--,--,2,1,0,0,0,--,--,7,19,0,--,--,Ross Barker,post-season
2017 - MAD,2,39,32,7,6,0,11,38,97.44,--,--,4,1,0,1,0,--,--,33,6,0,--,--,Ross Barker,post-season
Career,5,112,113,10,18,2,24,79,92.94,122,473,9,5,0,1,0,1,50,80,32,0,--,--,Ross Barker,post-season
2016 - SD,4,47,38,1,1,0,-1,37,94.87,--,--,4,2,0,1,0,--,--,46,1,0,--,--,Ross Lenta,regular season
2015 - SD,12,188,184,12,18,3,21,131,94.24,--,--,18,8,0,4,0,--,--,156,32,0,--,--,Ross Lenta,regular season
Career,16,235,222,13,19,3,20,168,94.38,--,--,22,10,0,5,0,--,--,202,33,0,--,--,Ross Lenta,regular season
2015 - NSH,6,52,46,1,0,1,-2,23,82.14,--,--,1,4,0,0,0,--,--,9,43,1,50,--,Ross Markle,regular season
2014 - DET,9,161,162,4,5,7,5,38,84.44,--,--,3,5,0,6,0,--,--,53,108,3,100,5.32,Ross Osborn,regular season
2019 - RAL,8,102,104,3,3,4,9,20,95.24,--,--,1,1,0,0,0,--,--,13,89,0,--,--,Ross Ward,regular season
2018 - NY,8,112,86,4,9,4,14,25,92.59,--,--,4,2,0,1,0,--,--,11,101,0,--,--,Ross Ward,regular season
2017 - NY,9,109,110,2,7,8,14,20,86.96,--,--,4,3,0,0,0,--,--,9,100,0,--,--,Ross Ward,regular season
2016 - NY,12,154,149,5,9,8,12,41,80.39,--,--,5,9,0,1,0,--,--,17,137,0,--,--,Ross Ward,regular season
2015 - NY,14,210,239,5,26,24,46,63,86.3,--,--,9,9,0,0,0,--,--,23,187,0,--,--,Ross Ward,regular season
2014 - NY,8,69,77,3,3,6,12,22,100,--,--,4,0,0,0,0,--,--,6,63,0,--,--,Ross Ward,regular season
Career,59,756,767,22,57,54,107,191,88.02,--,--,27,24,0,2,0,--,--,79,677,0,--,--,Ross Ward,regular season
2019 - RAL,1,8,3,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,1,7,0,--,--,Ross Ward,post-season
2018 - NY,3,21,22,0,0,1,0,3,100,--,--,0,0,0,1,0,--,--,1,20,0,--,--,Ross Ward,post-season
2016 - NY,1,12,18,0,1,0,1,2,100,--,--,0,0,0,0,0,--,--,1,11,0,--,--,Ross Ward,post-season
2015 - NY,2,39,33,3,4,2,9,11,100,--,--,1,0,0,0,0,--,--,4,35,0,--,--,Ross Ward,post-season
2014 - NY,2,17,12,0,0,0,0,3,100,--,--,0,0,0,0,0,--,--,2,15,0,--,--,Ross Ward,post-season
Career,9,97,89,3,5,3,10,19,100,--,--,1,0,0,1,0,--,--,9,88,0,--,--,Ross Ward,post-season
2021 - DC,12,220,263,28,5,7,24,534,97.09,2152,878,29,14,0,2,0,9,64.29,209,11,3,100,6.27,Rowan McDonnell,regular season
2019 - DC,12,327,344,47,59,4,83,377,92.4,--,--,34,24,0,3,0,--,--,246,81,16,94.12,5.63,Rowan McDonnell,regular season
2018 - DC,10,280,266,47,38,11,76,393,93.57,--,--,26,17,0,3,1,--,--,192,88,32,94.12,6.12,Rowan McDonnell,regular season
2017 - DC,12,286,262,29,18,17,45,198,88.79,--,--,17,18,1,1,0,--,--,94,192,89,92.71,5.9,Rowan McDonnell,regular season
2016 - DC,12,299,284,24,21,19,40,171,87.24,--,--,19,22,1,2,0,--,--,61,238,96,96.97,5.6,Rowan McDonnell,regular season
Career,58,1412,1421,175,141,58,268,1673,93.1,2152,878,125,95,2,11,1,9,64.29,802,610,236,94.78,5.79,Rowan McDonnell,regular season
2021 - DC,1,23,26,5,0,0,1,42,91.3,201,252,1,4,0,0,0,2,40,23,0,0,--,--,Rowan McDonnell,post-season
2019 - DC,1,32,33,4,8,1,9,31,91.18,--,--,5,3,0,1,0,--,--,21,11,3,100,7.14,Rowan McDonnell,post-season
2018 - DC,1,26,29,5,1,3,5,35,85.37,--,--,3,4,0,0,0,--,--,21,5,3,100,5.15,Rowan McDonnell,post-season
2017 - DC,2,52,42,6,1,2,4,47,87.04,--,--,6,5,0,0,0,--,--,17,35,10,90.91,5.13,Rowan McDonnell,post-season
2016 - DC,2,47,45,3,4,3,8,25,92.59,--,--,3,2,0,0,0,--,--,7,40,17,85,6.54,Rowan McDonnell,post-season
Career,7,180,177,23,14,9,27,180,89.11,201,252,18,18,0,1,0,2,40,89,91,33,89.19,6.05,Rowan McDonnell,post-season
2015 - RAL,9,171,128,3,6,5,12,36,97.3,--,--,4,1,0,1,0,--,--,6,165,0,--,--,Roy Matthews,regular season
2015 - RAL,2,32,28,0,2,1,3,8,100,--,--,2,0,0,0,0,--,--,3,29,0,--,--,Roy Matthews,post-season
2017 - VAN,4,78,91,6,5,6,9,45,84.91,--,--,7,7,0,1,0,--,--,54,24,7,100,6.93,Rumi Tejpar,regular season
2016 - VAN,2,41,34,3,5,2,7,33,91.67,--,--,4,3,0,0,0,--,--,19,22,2,100,6.75,Rumi Tejpar,regular season
2016 - TOR,5,88,88,7,12,1,17,53,94.64,--,--,2,2,0,1,0,--,--,57,31,0,--,--,Rumi Tejpar,regular season
2015 - VAN,9,232,199,16,8,13,14,182,88.35,--,--,21,21,0,2,0,--,--,150,82,30,100,5.93,Rumi Tejpar,regular season
Career,20,439,414,32,30,22,47,313,89.17,--,--,34,33,0,4,0,--,--,280,159,39,100,6.11,Rumi Tejpar,regular season
2016 - TOR,2,18,16,1,2,0,1,10,83.33,--,--,1,2,0,0,0,--,--,13,5,0,--,--,Rumi Tejpar,post-season
2018 - NY,3,23,17,0,1,0,-1,4,80,--,--,0,1,0,1,0,--,--,2,21,4,100,6.57,Ruo Ye,regular season
2017 - NY,1,4,1,0,0,0,-1,0,0,--,--,0,0,0,1,0,--,--,0,4,0,--,--,Ruo Ye,regular season
2016 - NY,10,107,115,4,8,2,5,84,91.3,--,--,4,8,1,1,0,--,--,11,96,14,100,6.28,Ruo Ye,regular season
2015 - NY,4,48,46,2,0,2,-1,62,95.38,--,--,4,3,0,2,0,--,--,28,20,0,--,--,Ruo Ye,regular season
Career,18,182,180,6,9,4,2,150,92.59,--,--,8,12,1,5,0,--,--,41,141,18,100,6.34,Ruo Ye,regular season
2015 - NY,2,19,13,0,0,0,-2,16,88.89,--,--,1,2,0,0,0,--,--,7,12,1,100,7.97,Ruo Ye,post-season
2016 - CIN,7,83,50,1,2,3,2,28,84.85,--,--,2,4,0,0,0,--,--,16,67,0,--,--,Russ Allen,regular season
2014 - SLC,11,283,256,9,8,7,-10,244,86.83,--,--,7,26,0,8,0,--,--,224,59,5,100,6.08,Russ Barr,regular season
2017 - OTT,11,205,197,8,16,5,16,114,89.76,--,--,16,11,0,2,0,--,--,122,83,0,--,--,Russ Nicolls,regular season
2016 - OTT,11,178,143,10,14,7,23,78,88.64,--,--,10,7,0,1,0,--,--,98,80,0,--,--,Russ Nicolls,regular season
Career,22,383,340,18,30,12,39,192,89.3,--,--,26,18,0,3,0,--,--,220,163,0,--,--,Russ Nicolls,regular season
2016 - DC,11,178,162,6,6,8,13,69,90.79,--,--,9,7,0,0,0,--,--,16,162,0,--,--,Russell Howd,regular season
2015 - DC,4,59,75,1,4,3,2,32,88.89,--,--,2,3,0,3,0,--,--,39,20,0,--,--,Russell Howd,regular season
2014 - DC,10,144,118,5,2,4,4,47,90.38,--,--,8,5,0,2,0,--,--,12,132,0,--,--,Russell Howd,regular season
Career,25,381,357,12,12,15,19,148,90.24,--,--,19,15,0,5,0,--,--,67,314,0,--,--,Russell Howd,regular season
2016 - DC,2,15,12,0,2,0,0,4,57.14,--,--,0,2,0,0,0,--,--,0,15,0,--,--,Russell Howd,post-season
2014 - DC,1,16,19,0,0,0,-1,3,60,--,--,0,1,1,0,0,--,--,7,9,0,--,--,Russell Howd,post-season
Career,3,31,32,0,2,0,-1,7,58.33,--,--,0,3,1,0,0,--,--,7,24,0,--,--,Russell Howd,post-season
2016 - SF,4,91,109,8,2,8,11,84,92.31,--,--,4,7,0,0,0,--,--,31,60,20,90.91,5.21,Russell Wynne,regular season
2015 - SJ,7,152,165,6,9,13,20,122,93.13,--,--,4,8,0,0,0,--,--,52,100,40,90.91,5.25,Russell Wynne,regular season
Career,11,243,275,14,11,21,31,206,92.79,--,--,8,15,0,0,0,--,--,83,160,60,90.91,5.21,Russell Wynne,regular season
2015 - SJ,3,54,71,3,5,2,8,50,96.15,--,--,6,2,0,0,0,--,--,14,40,27,84.38,--,Russell Wynne,post-season
2016 - TOR,5,97,92,8,5,2,10,71,92.21,--,--,8,5,0,0,0,--,--,20,77,1,100,1.65,Rusty Ingold-Smith,regular season
2017 - ATL,5,63,47,0,2,2,3,3,75,--,--,0,1,0,0,0,--,--,4,59,0,--,--,Ryan Archibald,regular season
2016 - ATL,11,165,141,6,4,4,11,19,86.36,--,--,1,3,0,0,0,--,--,23,142,0,--,--,Ryan Archibald,regular season
2015 - ATL,12,212,198,11,10,8,25,42,91.3,--,--,7,3,0,1,0,--,--,24,188,0,--,--,Ryan Archibald,regular season
Career,28,440,387,17,16,14,39,64,88.89,--,--,8,7,0,1,0,--,--,51,389,0,--,--,Ryan Archibald,regular season
2016 - ATL,2,24,11,0,1,0,1,0,0,--,--,0,0,0,0,0,--,--,1,23,0,--,--,Ryan Archibald,post-season
2016 - NSH,11,201,189,6,2,6,-1,153,90.53,--,--,6,13,0,2,0,--,--,75,126,16,94.12,5.57,Ryan Balch,regular season
2018 - AUS,5,82,90,5,3,0,1,53,88.33,--,--,6,7,0,0,0,--,--,57,25,0,--,--,Ryan Bigley,regular season
2017 - AUS,1,21,12,2,0,3,5,9,100,--,--,2,0,0,0,0,--,--,2,19,0,--,--,Ryan Bigley,regular season
2016 - AUS,5,89,82,9,1,5,5,88,90.72,--,--,9,8,0,2,0,--,--,30,59,4,100,4.34,Ryan Bigley,regular season
Career,11,192,185,16,4,8,11,150,90.36,--,--,17,15,0,2,0,--,--,89,103,4,100,4.34,Ryan Bigley,regular season
2019 - NY,11,111,80,1,3,3,7,13,100,--,--,0,0,0,0,0,--,--,5,106,0,--,--,Ryan Brown,regular season
2018 - PHI,9,125,119,5,7,5,5,53,89.83,--,--,3,6,0,6,0,--,--,71,54,0,--,--,Ryan Brown,regular season
2017 - PHI,13,200,166,3,19,5,16,58,82.86,--,--,9,8,0,3,0,--,--,89,111,2,100,4.95,Ryan Brown,regular season
Career,33,436,366,9,29,13,28,124,87.32,--,--,12,14,0,9,0,--,--,165,271,2,100,4.95,Ryan Brown,regular season
2014 - SLC,3,28,13,0,0,0,0,4,100,--,--,1,0,0,0,0,--,--,17,11,0,--,--,Ryan Carver,regular season
2021 - TB,10,216,236,3,18,13,24,84,92.31,292,1270,5,7,1,3,0,0,0,139,77,1,100,5.71,Ryan Chard,regular season
2019 - TB,8,176,161,5,9,11,20,79,96.34,--,--,7,3,0,2,0,--,--,99,77,3,100,5.44,Ryan Chard,regular season
2018 - TB,14,173,164,4,7,8,18,59,98.33,--,--,3,1,0,0,0,--,--,38,135,0,--,--,Ryan Chard,regular season
2017 - JAX,14,176,139,2,5,8,10,31,88.57,--,--,5,4,0,1,0,--,--,8,168,2,100,7.15,Ryan Chard,regular season
2016 - JAX,14,227,203,2,8,8,13,37,88.1,--,--,2,4,0,1,0,--,--,37,190,35,100,5.87,Ryan Chard,regular season
2015 - JAX,9,143,120,7,9,4,15,53,92.98,--,--,2,4,0,1,0,--,--,43,100,4,100,6.79,Ryan Chard,regular season
Career,69,1111,1025,23,56,52,100,343,93.46,292,1270,24,23,1,8,0,0,0,364,747,45,100,5.98,Ryan Chard,regular season
2017 - JAX,1,5,4,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,5,0,--,--,Ryan Chard,post-season
2015 - JAX,1,17,14,0,1,0,1,1,100,--,--,0,0,0,0,0,--,--,5,12,0,--,--,Ryan Chard,post-season
Career,2,22,18,0,1,0,1,1,100,--,--,0,0,0,0,0,--,--,5,17,0,--,--,Ryan Chard,post-season
2018 - PIT,13,137,122,0,2,4,1,22,84.62,--,--,1,3,0,2,0,--,--,30,107,0,--,--,Ryan Cicioni,regular season
2021 - NY,10,176,218,1,8,15,18,46,88.46,84,552,4,6,0,0,0,1,100,0,176,0,--,--,Ryan Drost,regular season
2019 - NY,11,177,190,2,8,12,17,55,91.67,--,--,7,5,0,0,0,--,--,24,153,0,--,--,Ryan Drost,regular season
2018 - NY,11,220,215,6,14,15,31,73,94.81,--,--,5,4,0,0,0,--,--,31,189,0,--,--,Ryan Drost,regular season
2017 - NY,14,322,346,5,12,27,36,93,93,--,--,6,7,0,1,0,--,--,48,274,0,--,--,Ryan Drost,regular season
2016 - NY,14,359,381,23,35,31,72,217,92.74,--,--,23,15,0,2,0,--,--,152,207,1,100,3.42,Ryan Drost,regular season
2015 - NY,13,297,309,18,22,27,49,138,89.61,--,--,18,16,0,2,0,--,--,67,230,0,--,--,Ryan Drost,regular season
2014 - NY,14,321,347,12,28,27,59,159,95.21,--,--,17,8,2,0,0,--,--,56,265,0,--,--,Ryan Drost,regular season
Career,87,1872,2009,67,127,154,282,781,92.54,84,552,80,61,2,5,0,1,100,378,1494,1,100,3.42,Ryan Drost,regular season
2021 - NY,3,54,65,0,2,3,4,8,88.89,-50,148,1,1,0,0,0,0,0,0,54,0,--,--,Ryan Drost,post-season
2019 - NY,3,55,56,1,0,2,3,8,100,--,--,1,0,0,0,0,--,--,4,51,0,--,--,Ryan Drost,post-season
2018 - NY,3,54,57,0,3,2,5,13,100,--,--,0,0,0,0,0,--,--,7,47,0,--,--,Ryan Drost,post-season
2016 - NY,1,26,29,0,1,1,-1,9,75,--,--,2,3,0,0,0,--,--,4,22,0,--,--,Ryan Drost,post-season
2015 - NY,2,49,41,2,4,5,9,16,88.89,--,--,1,2,0,0,0,--,--,5,44,0,--,--,Ryan Drost,post-season
2014 - NY,2,39,46,2,7,4,11,22,91.67,--,--,2,2,0,0,0,--,--,12,27,0,--,--,Ryan Drost,post-season
Career,14,277,295,5,17,17,31,76,90.48,-50,148,7,8,0,0,0,0,0,32,245,0,--,--,Ryan Drost,post-season
2016 - PHI,3,41,35,1,1,5,5,7,87.5,--,--,0,1,0,1,0,--,--,11,30,0,--,--,Ryan Flamberg,regular season
2017 - PHI,8,127,127,4,3,1,-9,80,85.11,--,--,5,13,0,4,0,--,--,83,44,2,100,3.81,Ryan Forster,regular season
2016 - PHI,13,325,321,29,15,8,-2,566,90.27,--,--,37,48,0,6,0,--,--,293,32,3,100,7.2,Ryan Forster,regular season
2015 - PHI,12,272,280,19,18,4,15,261,91.58,--,--,13,22,0,4,0,--,--,227,45,3,100,6.2,Ryan Forster,regular season
2014 - PHI,10,102,104,4,4,1,-1,96,88.07,--,--,9,10,0,0,0,--,--,64,38,6,85.71,6.19,Ryan Forster,regular season
2013 - PHI,6,60,0,2,10,5,8,39,88.64,--,--,0,5,0,4,0,--,--,41,19,2,100,--,Ryan Forster,regular season
Career,49,886,834,58,50,19,11,1042,89.91,--,--,64,98,0,18,0,--,--,708,178,16,94.12,5.77,Ryan Forster,regular season
2013 - PHI,1,4,0,0,0,0,0,2,100,--,--,0,0,0,0,0,--,--,3,1,1,100,--,Ryan Forster,post-season
2016 - CIN,14,388,355,25,22,21,48,458,95.42,--,--,31,18,0,2,1,--,--,292,96,2,100,1.05,Ryan Gorman,regular season
2013 - CIN,10,215,0,14,36,15,44,376,95.19,--,--,0,19,0,2,1,--,--,163,52,2,66.67,--,Ryan Gorman,regular season
Career,24,603,355,39,58,36,92,834,95.31,--,--,31,37,0,4,2,--,--,455,148,4,80,1.05,Ryan Gorman,regular season
2014 - SLC,9,201,177,17,10,1,7,294,93.04,--,--,14,16,1,5,0,--,--,186,15,1,100,8.2,Ryan Hahn,regular season
2021 - TB,3,39,49,3,1,0,-2,39,86.67,355,255,2,6,0,0,0,1,33.33,35,4,1,50,--,Ryan Hiser,regular season
2019 - TB,12,224,236,14,14,2,15,149,91.41,--,--,12,13,0,2,0,--,--,153,71,4,100,6.62,Ryan Hiser,regular season
2018 - TB,8,56,73,3,3,3,7,27,93.1,--,--,3,2,0,0,0,--,--,33,23,0,--,--,Ryan Hiser,regular season
Career,23,319,359,20,18,5,20,215,90.72,355,255,17,21,0,2,0,1,33.33,221,98,5,83.33,6.62,Ryan Hiser,regular season
2021 - NY,10,115,129,1,5,5,8,7,70,36,282,1,3,0,0,0,1,50,0,115,75,93.75,5.88,Ryan Holmes,regular season
2019 - NY,4,36,34,0,1,0,1,5,100,--,--,1,0,0,0,0,--,--,2,34,15,93.75,5.27,Ryan Holmes,regular season
2018 - NY,8,110,103,7,1,5,5,19,73.08,--,--,1,7,1,1,0,--,--,15,95,79,98.75,5.74,Ryan Holmes,regular season
2017 - NY,8,150,150,2,7,7,11,13,72.22,--,--,1,5,0,0,0,--,--,13,137,83,96.51,5.9,Ryan Holmes,regular season
2016 - NY,9,115,112,8,5,5,9,23,71.88,--,--,2,8,0,1,0,--,--,13,102,72,97.3,5.77,Ryan Holmes,regular season
Career,39,526,530,18,19,22,34,67,73.63,36,282,6,23,1,2,0,1,50,43,483,324,96.43,5.8,Ryan Holmes,regular season
2021 - NY,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,80,6.81,Ryan Holmes,post-season
2019 - NY,3,22,24,0,1,0,0,3,75,--,--,0,1,0,0,0,--,--,0,22,9,100,5.63,Ryan Holmes,post-season
2018 - NY,3,26,18,0,0,3,2,2,66.67,--,--,0,1,0,0,0,--,--,2,24,14,87.5,5.67,Ryan Holmes,post-season
2016 - NY,1,9,8,1,0,1,2,3,100,--,--,0,0,0,0,0,--,--,1,8,4,100,5.35,Ryan Holmes,post-season
Career,8,67,59,1,1,4,4,8,80,0,0,0,2,0,0,0,0,0,3,64,35,89.74,5.85,Ryan Holmes,post-season
2015 - ATL,10,134,100,2,7,6,13,36,94.74,--,--,11,2,0,0,0,--,--,11,123,0,--,--,Ryan James,regular season
2017 - IND,10,107,84,2,3,3,4,19,73.08,--,--,3,4,0,0,0,--,--,8,99,3,100,5.04,Ryan Jarvis,regular season
2016 - IND,3,35,22,1,1,1,3,6,85.71,--,--,0,0,0,0,0,--,--,2,33,0,--,--,Ryan Jarvis,regular season
2015 - IND,5,63,52,0,1,3,2,6,85.71,--,--,0,1,0,1,0,--,--,4,59,0,--,--,Ryan Jarvis,regular season
Career,18,205,159,3,5,7,9,31,77.5,--,--,3,5,0,1,0,--,--,14,191,3,100,5.04,Ryan Jarvis,regular season
2013 - TOR,12,141,0,22,10,5,15,167,89.3,--,--,0,20,0,2,0,--,--,48,93,1,100,--,Ryan Keyfitz,regular season
2013 - TOR,1,6,0,0,1,1,2,3,100,--,--,0,0,0,0,0,--,--,1,5,0,--,--,Ryan Keyfitz,post-season
2021 - SD,1,12,13,0,0,0,-1,3,75,0,15,0,1,0,0,0,0,0,0,12,0,--,--,Ryan Lacy,regular season
2019 - SD,3,26,27,0,1,1,2,6,100,--,--,1,0,0,0,0,--,--,0,26,0,--,--,Ryan Lacy,regular season
2018 - SD,10,120,96,5,6,7,13,19,82.61,--,--,1,4,0,1,0,--,--,4,116,0,--,--,Ryan Lacy,regular season
Career,14,158,137,5,7,8,14,28,84.85,0,15,2,5,0,1,0,0,0,4,154,0,--,--,Ryan Lacy,regular season
2019 - SD,1,6,3,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,6,0,--,--,Ryan Lacy,post-season
2021 - DET,3,40,37,1,0,1,-1,12,75,75,31,1,3,0,0,0,0,0,10,30,0,--,--,Ryan Lee,regular season
2015 - VAN,12,218,178,7,5,3,1,126,90,--,--,11,13,1,1,0,--,--,64,154,22,95.65,5.39,Ryan Lee,regular season
2014 - VAN,12,310,276,37,6,10,16,510,90.91,--,--,48,35,1,2,0,--,--,249,61,13,92.86,6,Ryan Lee,regular season
Career,24,528,455,44,11,13,17,636,90.73,--,--,59,48,2,3,0,--,--,313,215,35,94.59,5.62,Ryan Lee,regular season
2019 - LA,3,47,33,2,3,0,4,14,100,--,--,2,0,0,1,0,--,--,22,25,0,--,--,Ryan Lepore,regular season
2018 - LA,7,100,91,3,7,4,9,23,85.19,--,--,3,3,0,2,0,--,--,9,91,0,--,--,Ryan Lepore,regular season
Career,10,147,125,5,10,4,13,37,90.24,--,--,5,3,0,3,0,--,--,31,116,0,--,--,Ryan Lepore,regular season
2018 - DET,9,194,219,8,23,10,27,105,89.74,--,--,6,9,0,5,0,--,--,171,23,0,--,--,Ryan Mariouw,regular season
2017 - DET,10,209,229,11,25,12,28,106,87.6,--,--,11,14,0,6,0,--,--,174,35,0,--,--,Ryan Mariouw,regular season
2016 - DET,8,156,173,4,12,7,11,70,87.5,--,--,4,10,0,2,0,--,--,116,40,1,100,--,Ryan Mariouw,regular season
Career,27,559,621,23,60,29,66,281,88.36,--,--,21,33,0,13,0,--,--,461,98,1,100,--,Ryan Mariouw,regular season
2017 - DC,4,53,49,5,3,2,6,37,92.5,--,--,4,3,0,1,0,--,--,41,12,0,--,--,Ryan Nam,regular season
2014 - DC,10,216,208,19,18,10,35,200,93.46,--,--,11,11,1,1,1,--,--,96,120,4,80,4.18,Ryan Nam,regular season
Career,14,269,258,24,21,12,41,237,93.31,--,--,15,14,1,2,1,--,--,137,132,4,80,4.18,Ryan Nam,regular season
2014 - DC,1,23,17,2,1,0,-1,17,85,--,--,0,3,0,1,0,--,--,17,6,0,--,--,Ryan Nam,post-season
2021 - DET,4,33,29,0,0,0,0,6,85.71,10,49,0,0,0,0,0,0,0,5,28,1,100,4.86,Ryan Ntende,regular season
2021 - NY,10,243,247,59,26,1,67,283,93.4,2520,3306,26,17,0,2,0,15,75,241,2,0,--,--,Ryan Osgar,regular season
2018 - MIN,10,241,222,43,17,3,48,289,96.01,--,--,30,12,0,3,0,--,--,215,26,0,--,--,Ryan Osgar,regular season
2017 - MIN,14,316,309,41,43,15,71,222,91.36,--,--,20,19,0,9,0,--,--,272,44,0,--,--,Ryan Osgar,regular season
Career,34,800,780,143,86,19,186,794,93.74,2520,3306,76,48,0,14,0,15,75,728,72,0,--,--,Ryan Osgar,regular season
2021 - NY,3,71,82,18,11,1,21,101,90.99,564,973,4,9,0,0,0,5,71.43,71,0,0,--,--,Ryan Osgar,post-season
2018 - MIN,1,20,23,1,2,1,1,23,88.46,--,--,2,3,0,0,0,--,--,20,0,0,--,--,Ryan Osgar,post-season
2017 - MIN,1,25,19,3,4,0,6,12,92.31,--,--,2,1,0,0,0,--,--,24,1,0,--,--,Ryan Osgar,post-season
Career,5,116,126,22,17,2,28,136,90.67,564,973,8,13,0,0,0,5,71.43,115,1,0,--,--,Ryan Osgar,post-season
2021 - OTT,7,129,148,12,10,0,16,143,94.08,1144,561,15,6,0,0,0,2,66.67,126,3,0,--,--,Ryan Poloz,regular season
2021 - AUS,3,48,54,5,0,0,-3,91,91,651,-44,3,8,0,0,0,1,100,39,9,0,--,--,Ryan Purcell,regular season
2019 - AUS,8,131,149,15,7,5,12,167,90.76,--,--,10,13,0,2,0,--,--,80,51,2,100,5.26,Ryan Purcell,regular season
2018 - AUS,11,217,197,15,5,2,5,210,91.3,--,--,16,16,0,1,0,--,--,128,89,0,--,--,Ryan Purcell,regular season
2017 - AUS,11,276,239,27,14,3,19,380,93.83,--,--,30,21,0,4,0,--,--,186,90,4,100,5.06,Ryan Purcell,regular season
2016 - AUS,13,336,324,62,6,10,29,529,91.21,--,--,35,46,2,3,0,--,--,252,84,12,80,5.09,Ryan Purcell,regular season
Career,46,1008,964,124,32,20,62,1377,91.86,651,-44,94,104,2,10,0,1,100,685,323,18,85.71,5.11,Ryan Purcell,regular season
2018 - AUS,1,16,13,0,0,0,-2,12,80,--,--,0,2,0,0,0,--,--,5,11,1,100,4.75,Ryan Purcell,post-season
2019 - NY,3,27,17,0,0,2,2,5,100,--,--,1,0,0,0,0,--,--,1,26,0,--,--,Ryan Saffa,regular season
2018 - NY,4,24,19,0,0,3,2,3,100,--,--,1,0,0,1,0,--,--,8,16,0,--,--,Ryan Saffa,regular season
2017 - JAX,2,10,7,0,0,0,0,4,100,--,--,0,0,0,0,0,--,--,1,9,0,--,--,Ryan Saffa,regular season
Career,9,61,44,0,0,5,4,12,100,--,--,2,0,0,1,0,--,--,10,51,0,--,--,Ryan Saffa,regular season
2015 - CHA,6,76,68,1,5,3,6,22,88,--,--,3,2,0,1,0,--,--,18,58,0,--,--,Ryan Schanz,regular season
2018 - NSH,6,64,58,0,1,4,3,6,85.71,--,--,1,1,0,1,0,--,--,5,59,0,--,--,Ryan Seay,regular season
2019 - SEA,5,46,50,4,4,1,7,23,95.83,--,--,0,1,0,1,0,--,--,40,6,0,--,--,Ryan Segal,regular season
2018 - SEA,13,255,229,8,34,3,36,97,92.38,--,--,14,6,0,3,0,--,--,238,17,0,--,--,Ryan Segal,regular season
2014 - SLC,2,23,24,1,3,3,6,9,90,--,--,0,0,0,1,0,--,--,23,0,0,--,--,Ryan Segal,regular season
Career,20,324,304,13,41,7,49,129,92.81,--,--,14,7,0,5,0,--,--,301,23,0,--,--,Ryan Segal,regular season
2021 - SJ,2,14,12,0,2,0,2,1,100,1,42,0,0,0,0,0,0,0,0,14,0,--,--,Ryan Sheppard,regular season
2016 - RAL,12,215,211,11,8,4,13,135,89.4,--,--,14,8,1,2,0,--,--,12,203,173,92.02,6.59,Ryan Sitler,regular season
2013 - CIN,11,211,0,21,10,9,1,248,88.26,--,--,0,33,0,6,0,--,--,115,96,84,82.35,--,Ryan Sitler,regular season
Career,23,426,211,32,18,13,14,383,88.66,--,--,14,41,1,8,0,--,--,127,299,257,88.62,6.59,Ryan Sitler,regular season
2016 - RAL,1,21,17,1,0,1,2,6,100,--,--,0,0,0,0,0,--,--,0,21,21,84,6.54,Ryan Sitler,post-season
2018 - SD,3,21,21,0,1,0,0,18,94.74,--,--,1,0,0,1,0,--,--,13,8,0,--,--,Ryan Slaughter,regular season
2017 - SD,6,82,77,0,2,3,1,48,96,--,--,0,2,0,2,0,--,--,73,9,0,--,--,Ryan Slaughter,regular season
2016 - SD,11,202,205,3,8,1,-1,267,95.02,--,--,8,10,0,3,0,--,--,174,28,0,--,--,Ryan Slaughter,regular season
2015 - SD,4,41,35,0,4,0,4,31,100,--,--,0,0,0,0,0,--,--,25,16,0,--,--,Ryan Slaughter,regular season
Career,24,346,339,3,15,4,4,364,95.54,--,--,9,12,0,6,0,--,--,285,61,0,--,--,Ryan Slaughter,regular season
2019 - LA,9,118,113,5,4,1,7,62,93.94,--,--,4,3,0,0,0,--,--,28,90,13,100,4.96,Ryan Smith,regular season
2015 - CHI,10,134,137,4,9,4,1,110,88,--,--,7,14,0,2,0,--,--,22,112,3,100,4.51,Ryan Smith,regular season
2021 - SEA,2,24,36,0,0,0,0,7,87.5,-11,52,0,0,0,0,0,0,0,5,19,0,--,--,Ryan Sturm,regular season
