YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2013 - NJH,9,147,0,6,25,23,35,105,88.24,--,--,0,14,0,5,0,--,--,82,65,0,--,--,Jibran Mieser,regular season
Career,30,545,415,33,60,34,77,431,90.55,--,--,46,41,1,9,0,--,--,440,105,0,--,--,Jibran Mieser,regular season
2019 - NY,3,48,52,0,1,3,4,11,91.67,--,--,2,0,0,0,0,--,--,6,42,0,--,--,Jibran Mieser,post-season
2018 - NY,3,64,65,1,11,5,14,46,90.2,--,--,8,2,0,1,0,--,--,61,3,0,--,--,Jibran Mieser,post-season
Career,6,112,117,1,12,8,18,57,90.48,--,--,10,2,0,1,0,--,--,67,45,0,--,--,Jibran Mieser,post-season
2015 - DC,9,129,112,2,2,2,-1,41,85.42,--,--,4,6,0,1,0,--,--,23,106,1,50,--,Jim Boley,regular season
2021 - PHI,2,22,27,0,0,0,0,4,100,23,-3,0,0,0,0,0,0,0,2,20,15,93.75,6.6,Jimi O'Connell,regular season
2014 - SLC,10,232,207,13,3,6,-4,299,90.88,--,--,11,19,0,7,0,--,--,157,75,8,100,4.55,Jimmy Budnik,regular season
2016 - DET,5,29,30,0,1,2,2,2,100,--,--,1,0,0,1,0,--,--,3,26,0,--,--,Jimmy Herron,regular season
2013 - CIN,15,137,0,1,5,6,10,26,92.86,--,--,0,2,0,0,0,--,--,24,113,0,--,--,Jimmy Herron,regular season
Career,20,166,30,1,6,8,12,28,93.33,--,--,1,2,0,1,0,--,--,27,139,0,--,--,Jimmy Herron,regular season
2017 - DAL,12,373,346,42,28,14,34,363,86.63,--,--,37,46,1,4,0,--,--,283,90,52,96.3,7,Jimmy Mickle,regular season
2016 - DAL,9,252,242,47,24,17,65,212,90.21,--,--,28,21,1,2,0,--,--,180,72,42,95.45,7.02,Jimmy Mickle,regular season
2015 - SD,14,438,437,61,26,10,57,483,91.83,--,--,46,34,5,6,0,--,--,286,152,96,96.97,7.09,Jimmy Mickle,regular season
Career,35,1063,1026,150,78,41,156,1058,89.66,--,--,111,101,7,12,0,--,--,749,314,190,96.45,7.05,Jimmy Mickle,regular season
2017 - DAL,3,68,75,10,6,1,6,104,88.89,--,--,7,11,0,0,0,--,--,59,9,2,100,7.28,Jimmy Mickle,post-season
2016 - DAL,3,83,78,11,6,1,11,70,88.61,--,--,4,7,0,0,0,--,--,64,19,8,80,6.56,Jimmy Mickle,post-season
Career,6,151,154,21,12,2,17,174,88.78,--,--,11,18,0,0,0,--,--,123,28,10,83.33,6.74,Jimmy Mickle,post-season
2015 - PHI,5,42,40,1,0,0,0,14,87.5,--,--,2,1,0,0,0,--,--,4,38,9,75,4.43,Jimmy O'Connell,regular season
2017 - CHI,9,112,105,4,1,3,-3,60,86.96,--,--,5,9,0,2,0,--,--,20,92,3,75,4.53,Jimmy Robin,regular season
2015 - CHI,9,76,82,3,0,3,5,47,97.92,--,--,3,1,0,0,0,--,--,2,74,0,--,--,Jimmy Robin,regular season
2013 - CHI,8,73,0,9,2,8,14,27,90,--,--,0,3,0,2,0,--,--,0,73,1,100,--,Jimmy Robin,regular season
Career,26,261,188,16,3,14,16,134,91.16,--,--,8,13,0,4,0,--,--,22,239,4,80,4.53,Jimmy Robin,regular season
2021 - PIT,12,280,311,29,22,5,37,239,93.36,1582,2709,24,16,1,3,0,10,90.91,280,0,0,--,--,Jimmy Towle,regular season
2019 - PIT,11,215,220,12,25,10,33,144,92.9,--,--,20,9,0,5,0,--,--,185,30,0,--,--,Jimmy Towle,regular season
2018 - PIT,12,293,295,14,42,12,45,145,91.19,--,--,18,14,0,9,0,--,--,242,51,0,--,--,Jimmy Towle,regular season
2017 - PIT,7,119,110,3,9,9,14,31,81.58,--,--,2,5,0,2,0,--,--,41,78,0,--,--,Jimmy Towle,regular season
2016 - PIT,1,14,12,0,1,0,0,5,83.33,--,--,1,1,0,0,0,--,--,0,14,0,--,--,Jimmy Towle,regular season
Career,43,921,949,58,99,36,129,564,91.86,1582,2709,65,45,1,19,0,10,90.91,748,173,0,--,--,Jimmy Towle,regular season
2019 - PIT,2,42,47,1,5,0,6,20,100,--,--,2,0,0,0,0,--,--,37,5,0,--,--,Jimmy Towle,post-season
2017 - PIT,2,46,49,0,6,1,3,16,88.89,--,--,3,2,0,2,0,--,--,37,9,0,--,--,Jimmy Towle,post-season
Career,4,88,97,1,11,1,9,36,94.74,--,--,5,2,0,2,0,--,--,74,14,0,--,--,Jimmy Towle,post-season
2019 - AUS,8,128,153,8,4,4,5,118,92.91,--,--,6,9,0,2,0,--,--,51,77,37,97.37,5.48,Jimmy Zuraw,regular season
2019 - LA,12,245,225,16,39,9,53,118,92.19,--,--,16,8,0,3,0,--,--,166,79,2,100,2.98,Joc Jimenez,regular season
2019 - LA,1,25,22,1,3,0,3,14,87.5,--,--,3,1,0,0,0,--,--,23,2,0,--,--,Joc Jimenez,post-season
2012 - CON,10,96,0,10,16,14,20,138,87.9,--,--,0,19,0,1,0,--,--,48,48,0,--,--,Joe Anderson,regular season
2016 - NY,2,15,15,0,1,0,0,0,0,--,--,0,1,0,0,0,--,--,2,13,7,87.5,5.11,Joe Babbino,regular season
2015 - NY,5,62,70,3,2,2,3,29,87.88,--,--,5,4,0,0,0,--,--,3,59,25,96.15,6.24,Joe Babbino,regular season
2014 - NY,13,135,143,1,14,2,6,58,90.63,--,--,7,6,0,5,0,--,--,62,73,25,100,5.25,Joe Babbino,regular season
2013 - NY,10,145,0,7,13,9,22,46,88.46,--,--,0,5,1,2,0,--,--,11,134,25,100,--,Joe Babbino,regular season
Career,30,357,228,11,30,13,31,133,88.67,--,--,12,16,1,7,0,--,--,78,279,82,97.62,5.67,Joe Babbino,regular season
2015 - NY,1,4,4,0,0,1,0,0,0,--,--,0,1,0,0,0,--,--,1,3,2,100,6.18,Joe Babbino,post-season
2013 - NY,2,11,0,0,1,1,1,4,80,--,--,0,1,0,0,0,--,--,1,10,1,100,--,Joe Babbino,post-season
Career,3,15,4,0,1,2,1,4,66.67,--,--,0,2,0,0,0,--,--,2,13,3,100,6.18,Joe Babbino,post-season
2014 - ROC,9,125,114,6,6,1,-6,34,69.39,--,--,0,15,0,4,0,--,--,118,7,0,--,--,Joe Becker,regular season
2013 - ROC,12,160,0,12,23,6,34,53,92.98,--,--,0,4,0,3,0,--,--,109,51,2,66.67,--,Joe Becker,regular season
Career,21,285,114,18,29,7,28,87,82.08,--,--,0,19,0,7,0,--,--,227,58,2,66.67,--,Joe Becker,regular season
2013 - MIN,10,165,0,11,13,8,26,34,91.89,--,--,0,3,0,3,0,--,--,80,85,29,100,--,Joe Brisbois,regular season
2013 - DC,15,342,0,10,14,6,-14,374,92.12,--,--,0,30,2,14,0,--,--,236,106,4,100,--,Joe DiPaula,regular season
