pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,6714.0,12.61,92.18,mrick
PULL_INBOUNDS,6169.0,-5.32,89.31,ebloodwor
PULL_INBOUNDS,7843.0,10.29,97.29,elheureux
PULL_INBOUNDS,6469.0,-5.87,99.74,crussell
PULL_INBOUNDS,7598.0,-9.89,99.81,jkurmanfa
PULL_INBOUNDS,5661.0,-6.96,95.52,tmcallist
PULL_INBOUNDS,7736.0,17.8,99.95,jkurmanfa
PULL_INBOUNDS,14287.0,-26.4,47.59,nsaul
PULL_INBOUNDS,6715.0,4.43,103.97,jkurmanfa
PULL_INBOUNDS,13880.0,-26.26,52.15,jkurmanfa
PULL_INBOUNDS,5500.0,-10.58,96.75,nsaul
PULL_INBOUNDS,6512.0,-14.87,113.59,jhartzog
PULL_INBOUNDS,8248.0,25.64,87.68,tlynch
PULL_INBOUNDS,6486.0,13.77,86.52,mrick
PULL_INBOUNDS,8103.0,-17.26,111.4,jkurmanfa
PULL_INBOUNDS,6395.0,-0.82,106.7,tmcallist
PULL_INBOUNDS,6974.0,-5.19,107.59,mrick
PULL_INBOUNDS,6715.0,-1.3,101.11,tmcallist
PULL_INBOUNDS,5818.0,0.0,80.0,kromard
PULL_INBOUNDS,6536.0,25.57,89.19,dgarlock
PULL_INBOUNDS,6658.0,-8.02,96.84,jwham
PULL_INBOUNDS,6723.0,-5.76,88.9,dgarlock
PULL_INBOUNDS,5765.0,-19.02,99.39,jwilson
PULL_INBOUNDS,6624.0,10.63,91.31,dgarlock
PULL_INBOUNDS,6428.0,-15.08,89.65,nhutton
PULL_INBOUNDS,6020.0,8.67,88.9,dgarlock
PULL_INBOUNDS,6497.0,-3.58,103.9,dgarlock
PULL_OUT_OF_BOUNDS,,0.0,80.0,nhutton
PULL_INBOUNDS,6317.0,-19.31,89.38,kromard
PULL_INBOUNDS,7040.0,-7.22,88.1,dgarlock
PULL_INBOUNDS,6845.0,-11.46,98.38,kromard
PULL_INBOUNDS,6175.0,-3.07,87.74,jwilson
PULL_INBOUNDS,8226.0,-0.55,84.61,nhutton
PULL_INBOUNDS,6833.0,4.88,89.56,dgarlock
PULL_INBOUNDS,4657.0,26.66,73.15,nhutton
PULL_INBOUNDS,7288.0,17.7,91.67,dgarlock
PULL_INBOUNDS,6662.0,7.97,95.65,kromard
PULL_INBOUNDS,7674.0,-9.7,87.45,dgarlock
PULL_INBOUNDS,6979.0,23.52,81.4,nhutton
